iter	Passed	Remaining
828	14810	3054
829	14828	3037
830	14846	3019
831	14868	3002
832	14886	2984
833	14905	2966
834	14924	2949
835	14943	2931
836	14961	2913
837	14982	2896
838	15001	2878
839	15019	2860
840	15036	2842
841	15055	2825
842	15073	2807
843	15092	2789
844	15110	2771
845	15128	2753
846	15147	2736
847	15164	2718
848	15182	2700
849	15199	2682
850	15216	2664
851	15233	2646
852	15250	2628
853	15267	2610
854	15287	2592
855	15304	2574
856	15322	2556
857	15339	2538
858	15356	2520
859	15373	2502
860	15390	2484
861	15407	2466
862	15423	2448
863	15440	2430
864	15457	2412
865	15478	2395
866	15500	2377
867	15521	2360
868	15546	2343
869	15565	2325
870	15583	2308
871	15607	2291
872	15632	2274
873	15660	2257
874	15683	2240
875	15710	2223
876	15737	2207
877	15766	2190
878	15788	2173
879	15812	2156
880	15839	2139
881	15862	2122
882	15886	2104
883	15910	2087
884	15929	2069
885	15957	2053
886	15981	2036
887	16008	2019
888	16028	2001
889	16046	1983
890	16063	1965
891	16080	1947
892	16098	1928
893	16117	1911
894	16137	1893
895	16154	1875
896	16172	1856
897	16189	1838
898	16206	1820
899	16223	1802
900	16240	1784
901	16256	1766
902	16273	1748
903	16289	1729
904	16307	1711
905	16324	1693
906	16341	1675
907	16358	1657
908	16374	1639
909	16390	1621
910	16407	1602
911	16425	1584
912	16443	1566
913	16460	1548
914	16479	1530
915	16498	1512
916	16515	1494
917	16532	1476
918	16549	1458
919	16566	1440
920	16582	1422
921	16598	1404
922	16615	1386
923	16631	1367
924	16647	1349
925	16664	1331
926	16681	1313
927	16696	1295
928	16714	1277
929	16731	1259
930	16750	1241
931	16767	1223
932	16783	1205
933	16800	1187
934	16817	1169
935	16834	1151
936	16851	1132
937	16867	1114
938	16885	1096
939	16902	1078
940	16918	1060
941	16935	1042
942	16951	1024
943	16967	1006
944	16983	988
945	16999	970
946	17016	952
947	17035	934
948	17051	916
949	17067	898
950	17083	880
951	17099	862
952	17116	844
953	17135	826
954	17151	808
955	17167	790
956	17184	772
957	17201	754
958	17216	736
959	17235	718
960	17251	700
961	17267	682
962	17285	664
963	17302	646
964	17319	628
965	17337	610
966	17354	592
967	17370	574
968	17387	556
969	17403	538
970	17420	520
971	17438	502
972	17457	484
973	17475	466
974	17495	448
975	17511	430
976	17528	412
977	17547	394
978	17563	376
979	17579	358
980	17596	340
981	17612	322
982	17628	304
983	17646	286
984	17662	268
985	17679	251
986	17697	233
987	17714	215
988	17731	197
989	17749	179
990	17767	161
991	17785	143
992	17801	125
993	17817	107
994	17834	89
995	17851	71
996	17867	53
997	17883	35
998	17902	17
999	17919	0
